,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food,age
7766,101948.0,1.3037694074719874e-81,0.24154589371980675,1.3037694074719874e-81,0.7584541062801932,2.0
7767,101949.0,0.12160228898426323,0.3061516452074392,7.721896061422071e-82,0.5722460658082976,79.0
7768,101950.0,6.566429862450156e-82,0.06082725060827251,0.0364963503649635,0.902676399026764,54.0
7769,101951.0,5.39491328520471e-85,0.9995002493755616,5.39491328520471e-85,0.0004997506244384053,19.0
7770,101952.0,4.498004455778357e-82,0.16666666666666666,4.498004455778357e-82,0.8333333333333333,9.0
7771,101953.0,0.047619047619047616,0.23809523809523808,6.425720651111939e-82,0.7142857142857143,3.0
7772,101954.0,0.09645817633760362,0.25772418990203466,4.067524752776208e-82,0.6458176337603617,1.0
7773,101955.0,1.255257057426518e-81,0.46511627906976744,0.23255813953488372,0.3023255813953488,1.0
7774,101956.0,9.813827903516414e-82,0.18181818181818182,0.09090909090909091,0.7272727272727273,2.0
7775,101957.0,1.1994678548742284e-81,0.2222222222222222,1.1994678548742284e-81,0.7777777777777778,35.0
7776,101958.0,0.04310344827586207,0.1724137931034483,0.06896551724137931,0.7155172413793104,4.0
7777,101959.0,0.11627906976744186,0.3488372093023256,6.27628528713259e-82,0.5348837209302325,70.0
7778,101961.0,1.2267284879395517e-81,0.09090909090909091,1.2267284879395517e-81,0.9090909090909091,4.0
7779,101962.0,2.9334811668119716e-81,0.22282608695652173,2.9334811668119716e-81,0.7771739130434783,79.0
7780,101963.0,3.722486446161398e-82,0.1724137931034483,0.06896551724137931,0.7586206896551724,5.397605346934028e-79
7781,101965.0,8.540514789452576e-82,0.47468354430379744,8.540514789452576e-82,0.5253164556962026,44.0
7782,101966.0,0.12195121951219512,0.14634146341463414,0.06097560975609756,0.6707317073170731,24.0
7783,101967.0,2.398935709748457e-81,0.2222222222222222,2.398935709748457e-81,0.7777777777777778,10.0
7784,101968.0,4.200471087108193e-82,1.0,4.200471087108193e-82,8.400942174216386e-82,7.0
7785,101969.0,0.13333333333333333,0.2,7.19680712924537e-82,0.6666666666666666,6.0
7786,101970.0,3.149127973707134e-82,3.149127973707134e-82,3.149127973707134e-82,1.0,2.0
7787,101971.0,1.6456113862603744e-81,1.6456113862603744e-81,1.6456113862603744e-81,1.0,24.0
7788,101972.0,0.1724137931034483,0.1724137931034483,0.05172413793103448,0.603448275862069,15.0
7789,101973.0,0.02097902097902098,0.13986013986013987,3.7745491936601594e-82,0.8391608391608392,37.0
7790,101974.0,1.0281153041779101e-81,0.19047619047619047,1.0281153041779101e-81,0.8095238095238095,4.0
7791,101976.0,7.149146154879507e-82,0.16556291390728478,7.149146154879507e-82,0.8344370860927153,38.0
7792,101977.0,,,,,45.0
7793,101978.0,1.6867516709168838e-81,1.6867516709168838e-81,0.0625,0.9375,44.0
7794,101979.0,6.713439486236353e-82,0.12437810945273632,0.12437810945273632,0.7512437810945274,1.0
7795,101980.0,0.21505376344086022,0.08602150537634409,5.803876717133363e-82,0.6989247311827956,35.0
7796,101981.0,,,,,67.0
7797,101983.0,3.037481905984259e-82,0.03601575689364097,3.037481905984259e-82,0.963984243106359,7.0
