,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food
5688,99391.0,1.542172956266865e-81,0.2857142857142857,0.05714285714285714,0.6571428571428571
5689,99392.0,6.755450997414303e-82,0.37546933667083854,6.755450997414303e-82,0.6245306633291614
5690,99393.0,0.08187134502923976,0.1949317738791423,0.03898635477582846,0.6842105263157895
5691,99394.0,5.39491328520471e-85,0.9995002493755616,5.39491328520471e-85,0.0004997506244384053
5692,99395.0,6.365100644969372e-82,0.1179245283018868,0.02358490566037736,0.8584905660377358
5693,99396.0,8.420601165263694e-82,0.3338533541341654,8.420601165263694e-82,0.6661466458658347
5694,99397.0,0.26683291770573564,0.05610972568578554,0.03740648379052369,0.6396508728179551
5695,99398.0,3.504938536970148e-82,0.2597402597402597,0.025974025974025976,0.7142857142857142
5696,99399.0,0.10526315789473684,0.10526315789473684,1.420422459719481e-81,0.7894736842105263
5697,99400.0,4.067524752776208e-82,0.19366993217784476,4.067524752776208e-82,0.8063300678221552
5698,99401.0,0.08163265306122448,0.30612244897959184,0.05102040816326531,0.5612244897959184
5699,99402.0,,,,
5700,99403.0,9.570222246336929e-82,9.570222246336929e-82,0.08865248226950355,0.9113475177304965
5701,99404.0,,,,
5702,99405.0,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.7619047619047619
5703,99406.0,0.125,1.349401336733507e-81,0.125,0.75
5704,99407.0,0.125,0.25,1.349401336733507e-81,0.625
5705,99408.0,0.04437869822485207,0.2529585798816568,7.984623294281106e-82,0.7026627218934911
5706,99409.0,5.997339274371142e-82,0.1111111111111111,5.997339274371142e-82,0.8888888888888888
5707,99410.0,9.813827903516414e-82,0.7272727272727273,9.813827903516414e-82,0.2727272727272727
5708,99411.0,5.816385072127185e-82,0.46120689655172414,5.816385072127185e-82,0.5387931034482759
5709,99412.0,6.730181230591057e-82,0.19950124688279303,6.730181230591057e-82,0.800498753117207
5710,99413.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334
5711,99414.0,0.07692307692307693,0.15384615384615385,8.304008226052351e-82,0.7692307692307693
5712,99415.0,8.705815075700045e-82,0.08064516129032258,0.03225806451612903,0.8870967741935484
5713,99416.0,0.06488781079442087,0.1558520315342632,3.2732597616337344e-82,0.779260157671316
5714,99417.0,0.09090909090909091,0.36363636363636365,4.906913951758207e-82,0.5454545454545454
5715,99418.0,0.04734848484848485,0.0946969696969697,1.0222737399496265e-81,0.8579545454545454
5716,99419.0,3.4666701007925675e-82,0.06422607578676943,0.12845215157353887,0.8073217726396917
5717,99420.0,0.08379888268156424,0.3575418994413408,1.507710990763695e-81,0.5586592178770949
5718,99421.0,4.5859008894936516e-82,0.09090909090909091,4.5859008894936516e-82,0.9090909090909091
5719,99422.0,5.681689838877924e-82,0.3157894736842105,5.681689838877924e-82,0.6842105263157894
5720,99423.0,0.07542147293700088,0.354924578527063,4.789357007039954e-82,0.5696539485359361
5721,99424.0,,,,
5722,99425.0,2.76800274201745e-81,0.358974358974359,2.76800274201745e-81,0.641025641025641
5723,99426.0,,,,
5724,99427.0,6.747006683667535e-82,0.25,6.747006683667535e-82,0.75
5725,99428.0,0.04854368932038835,0.2912621359223301,5.240393540712648e-82,0.6601941747572815
5726,99429.0,0.06561679790026247,0.26246719160104987,1.4166943167805847e-81,0.6719160104986877
5727,99430.0,3.8199613212555047e-82,0.4543524416135881,3.8199613212555047e-82,0.5456475583864119
5728,99431.0,8.433758354584419e-82,0.46875,0.109375,0.421875
5729,99432.0,1.0795210693868056e-81,0.2,1.0795210693868056e-81,0.8
5730,99433.0,6.582445545041497e-82,0.12195121951219512,0.14634146341463414,0.7317073170731707
5731,99434.0,,,,
5732,99435.0,3.8554323906671627e-81,0.35714285714285715,0.14285714285714285,0.5
5733,99436.0,0.14619883040935672,0.08771929824561403,0.05847953216374269,0.7076023391812865
5734,99437.0,0.043478260869565216,0.08695652173913043,1.564523288966385e-81,0.8695652173913043
5735,99438.0,5.93143444718025e-82,0.06593406593406594,0.054945054945054944,0.8791208791208791
5736,99439.0,6.350123937569444e-82,0.23529411764705882,0.058823529411764705,0.7058823529411765
5737,99440.0,4.574241819435617e-82,0.0847457627118644,0.06779661016949153,0.847457627118644
5738,99441.0,4.8496004914052365e-82,0.2695417789757412,4.8496004914052365e-82,0.7304582210242587
5739,99442.0,0.08284600389863547,0.08284600389863547,5.2608239248869665e-82,0.834307992202729
5740,99443.0,0.09090909090909091,0.36363636363636365,4.906913951758207e-82,0.5454545454545454
5741,99444.0,7.710864781334326e-82,0.5,7.710864781334326e-82,0.5
5742,99445.0,0.03225806451612903,0.43010752688172044,5.803876717133363e-82,0.5376344086021505
5743,99446.0,0.11278195488721804,0.15037593984962405,0.03007518796992481,0.706766917293233
5744,99447.0,0.3333222225814699,3.3332255590402574e-05,1.7991436100012858e-85,0.6666444451629397
5745,99448.0,7.914377341545495e-82,0.05865102639296188,7.914377341545495e-82,0.9413489736070382
5746,99449.0,0.03480278422273782,0.22273781902552203,0.09280742459396751,0.6496519721577726
5747,99450.0,0.06656286492798755,0.24990268586998832,0.06656286492798755,0.6169715842740366
5748,99451.0,0.043331076506431955,0.1882193635748138,0.1882193635748138,0.5802301963439405
5749,99452.0,4.498004455778356e-80,4.498004455778356e-80,4.498004455778356e-80,1.0
5750,99453.0,0.152135231316726,0.2669039145907473,0.08896797153024912,0.4919928825622776
5751,99454.0,0.10204081632653061,0.08163265306122448,2.203104223238379e-81,0.8163265306122449
5752,99455.0,0.14285714285714285,0.14285714285714285,2.5702882604447752e-82,0.7142857142857143
5753,99456.0,0.058823529411764705,0.5882352941176471,1.5875309843923611e-81,0.35294117647058826
5754,99457.0,0.10572139303482588,0.10572139303482588,6.713439486236353e-82,0.7885572139303483
5755,99458.0,0.10344827586206896,0.20689655172413793,0.06896551724137931,0.6206896551724138
5756,99459.0,7.996452365828189e-82,0.2962962962962963,0.1111111111111111,0.5925925925925926
5757,99460.0,1.0184161031950996e-81,0.05660377358490566,1.0184161031950996e-81,0.9433962264150944
5758,99461.0,0.17391304347826086,0.043478260869565216,4.693569866899155e-82,0.7826086956521738
5759,99462.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334
5760,99463.0,0.1,0.2,0.4,0.3
5761,99464.0,0.22388059701492538,0.029850746268656716,4.028063691741812e-82,0.746268656716418
5762,99465.0,,,,
5763,99466.0,4.3180842775472225e-82,0.16,4.3180842775472225e-82,0.8400000000000001
5764,99467.0,0.0425531914893617,0.26595744680851063,5.742133347802157e-82,0.6914893617021277
5765,99468.0,9.813827903516414e-82,0.09090909090909091,0.09090909090909091,0.8181818181818182
5766,99469.0,0.04365904365904366,0.33367983367983367,5.610816368954291e-82,0.6226611226611227
5767,99470.0,0.05470459518599562,0.562363238512035,5.905476309555829e-82,0.38293216630196936
5768,99471.0,9.179600930159911e-82,0.17006802721088435,9.179600930159911e-82,0.8299319727891157
5769,99472.0,0.11395101171458999,0.042598509052183174,0.34185303514376997,0.5015974440894568
5770,99473.0,0.07407407407407407,0.25925925925925924,3.9982261829140945e-82,0.6666666666666666
5771,99474.0,2.73990119133707e-81,2.73990119133707e-81,2.73990119133707e-81,1.0
